00m00s.png || high || 全面が黒い画面。UI・キャンバス・字幕・透かしは一切確認できない。
00m20s.png || high || CLIP STUDIO PAINT EX。タイトルバー「실습(선화)* (3148 x 4970px 350dpi 73.3%)」。キャンバスは横臥する女性の線画(全身・白地)で、下に薄い色下塗り。左に参照用フロート窓「Illustration* (1992 x 3113px 72dpi 80.7%)」に完成イラスト(白髭ウェディングドレスの少女、スプーン持ち)。Sub Tool は消しゴム「자우개」選択、下に붓펜/부드러운/러/헤어/수납 지우개 등。Tool Property「수납 지우개」Brush Size 27.3、Anti-aliasing 選択。レイヤーパネルは上から Folder 3 Copy(選択・不透明度100% Normal)、Layer 46(100%)、Layer 45(32%)、Layer 47(100%)、Layer 44(100%)、Layer 32(100% Color)、Folder 3(15%)、Paper。焼き込み字幕なし。透かし文字は確認できない。
00m40s.png || medium || 前フレーム(00m20s)と同一ドキュメント。表示が上半身寄りにズーム(ナビは73.3%表記のまま)。Sub Tool がペン系(연필/마스킹펜/G펜/낙서/oil pen/G펜選択)に切替。Tool Property「G펜」Brush Size 12.0、Hardness スライダ。キャンバスは顔・上半身の線画と背景のアイスクリーム下塗り。胸部付近に薄いグレーの透かし風文字「w...@...mail-973965」が部分的に判読可能。字幕なし。
01m00s.png || high || 前フレーム(00m40s)と同一画面・同一ズーム。Sub Tool が자우개(消しゴム)系に戻り、Tool Property「수납 지우개」Brush Size 27.3。キャンバス内容に変化なし。
01m20s.png || high || 前フレーム(01m00s)と同一ドキュメント。表示がやや引き気味になり脚側まで見える。Sub Tool はG펜選択、Tool Property Brush Size 12.0、Hardness。キャンバスは全身線画+薄い下塗りのまま。字幕なし。透かし文字はこのフレームでは確認できない。
01m40s.png || high || ズームアウトし60.0%表示。キャンバス全体に色彩が進行: 青空・雲・海辺の背景、色の付いたアイスクリーム、帽子、肌色の下塗り。Sub Tool が選択範囲系(장방형 선택/타원 선택/자유 선택/올가미 선택が選択状態)。Tool Property「올가미 선택」Selection mode、Anti-aliasing。レイヤーパネル最上位が「Folder 3 Copy 2」(選択)。右上に薄い透かし風文字(メールアドレス風、一部判読不能)。字幕なし。
02m00s.png || high || ズーム66.7%。キャンバスは全身の線画中心で、下塗り色は非常に薄く表示(最上位 Folder 3 Copy 2 のチェックが外れ非表示)。選択レイヤーは Layer 44。Sub Tool はG펜、Brush Size 12.0、Hardness。字幕なし。透かし確認できず。
02m20s.png || high || 前フレーム(02m00s)と同一設定(66.7%、Layer 44選択、G펜 12.0)。表示が左側(胴体・腕)へパン。線画内容は同一。字幕なし。
02m40s.png || medium || ズーム60.0%。キャンバスが僅かに回転(傾き)表示。全身線画+極薄の下塗り。顔付近に薄い透かし風文字「web_in_bo...@...97396...」が部分的に判読可能。Sub Tool はG펜 12.0。選択レイヤー Layer 44。字幕なし。
03m00s.png || high || ズーム60.5%。キャンバスの回転角が変化(大きく傾く)。Sub Tool が移動・回転系(이동 選択、下に회전)に切替。Tool Property「회전」Snap angle 45도。選択レイヤー Layer 44 のまま。字幕なし。
03m20s.png || medium || 前フレーム(03m00s)と同一ズーム60.5%・回転表示。Sub Tool はG펜 12.0 に戻る。選択レイヤーが Layer 46 に変化。Layer Property に「Mask expression / Show gradients: Yes」表示。字幕なし。透かし確認できず。
03m40s.png || medium || 前フレーム(03m20s)と同一ズーム・回転。Sub Tool が塗り系(색 혼합/무채색/피셜 드롭/피셀 우동 選択・表記は判読に揺れ)に切替。Tool Property「피셸 우동화」Brush Size 442.1。キャンバス下部中央に透かし風文字「web_in_box.mail-973965」が判読可能。選択レイヤー Layer 44。字幕なし。
04m00s.png || high || ズーム40.5%。キャンバスの回転が解除され正面表示。全身線画が全体で見える。選択レイヤー Layer 46、Layer Property「Mask expression / Show gradients: Yes」。Sub Tool はG펜 12.0、Hardness。字幕なし。透かし確認できず。
04m20s.png || high || 前フレーム(04m00s)と同一ズーム40.5%・同一パネル設定。キャンバスが回転(傾き)表示に変化。線画内容は同一。字幕なし。
04m40s.png || medium || ズーム30.2%。キャンバスがさらに小さく傾いて表示され全身が収まる。キャンバス左上外に薄い透かし風文字(「web_in_box.mail-...」と思われる・一部判読不能)。選択レイヤー Layer 46。Sub Tool はG펜 12.0。字幕なし。
05m00s.png || high || 前フレーム(04m40s)と同一ズーム30.2%。キャンバスの回転角が変化。キャンバス右側に手の形のパンカーソルが表示(移動操作中)。パネル構成・選択レイヤー Layer 46 は同一。字幕なし。
