00m00s.png || high || 黒画面のみ。中央に「재생(再生)」ボタン。アプリUI・キャンバス・字幕なし。
00m20s.png || high || CLIP STUDIO PAINT EX。タイトルバー「살슴(선화)* (3148 x 4970px 350dpi 80.7%)」。キャンバスは帽子の少女(スプーンを持ちアイスクリームを持つ腕)の線画途中で、淡い青系の下塗りが下層に見える。左にリファレンス用小窓「Illustration* (1992 x 3113px 72dpi 80.7%)」に完成イラスト(銀髪・白ドレスの少女)。サブツールはG펜(Gペン)系選択、Tool Property: Brush Size 12.0、Hardness。レイヤーパネル: 100%Normal Layer 47(選択)/24%Normal Layer 46/32%Normal Layer 45/100%Normal Layer 44/100%Color Layer 32/15%Normal Folder 3 Copy/Paper。Layer Property: Effect、Expression color: Color。キャンバス上に薄い透かし「web_in_box_mail-973965」。焼き込み字幕なし。
00m40s.png || medium || 前フレーム(00m20s)と同一セッション。キャンバスを回転・拡大し(ナビゲーター回転角 -17.5)、顔〜首〜手元の線画を描き進んでいる。レイヤー構成・G펜選択・Brush Size 12.0は同様。透かし「web_in_box_mail-973965」がキャンバス中央に薄く見える。字幕なし。
01m00s.png || medium || 前フレーム(00m40s)と同セッション。回転角 -3.0。顔アップで、スプーンを持つ手の線画を描き込み中。レイヤー構成・G펜・Brush Size 12.0は同様。字幕なし。
01m20s.png || high || 前フレーム(01m00s)と同セッション。回転角 -45.8。手・袖の線画を追記中。レイヤーパネルに「100%Normal Layer 48」が追加され選択中。G펜・Brush Size 12.0。字幕なし。
01m40s.png || high || 前フレーム(01m20s)と同セッション。ズーム 73.3%、回転 -35.7。サブツールが消しゴム(자우개)群に切り替わり、Tool Property: Brush Size 27.3、Anti-aliasing(4段階選択)。選択レイヤーは Layer 48。線の修正・消し込み中。字幕なし。
02m00s.png || medium || 前フレーム(01m40s)と同セッション。ズーム 73.3%、回転 105.9。キャンバスを大きく回転し、顔・手元まわりの線を消しゴムで清書中。サブツール 자우개、Brush Size 27.3、Layer 48 選択のまま。字幕なし。
02m20s.png || high || 前フレーム(02m00s)と同セッション。ズーム 73.3%、回転 0.0。変形ツール実行中: キャンバスに OK/Cancel ボタンと変形ハンドル、Tool Property に「Editing transformation settings」、Mode: Free Transform。サブツールは選択範囲(선택 범위)系が選択。Layer 48 選択。字幕なし。
02m40s.png || high || 前フレーム(02m20s)と同セッション。ズーム 110.0%、回転 -69.6。手・スプーン周辺を拡大し、消しゴム(자우개、Brush Size 27.3)で線を修正中。Layer 48 選択。字幕なし。
03m00s.png || high || 前フレーム(02m40s)と同セッション。ズーム 90.0%、回転 0.0。サブツールをG펜(Gペン/oil pen)に戻し、Tool Property: Brush Size 12.0、Hardness。スプーンと手の線画を描き直し中。Layer 47 選択。字幕なし。
03m20s.png || high || 前フレーム(03m00s)と同セッション。タイトルバー「살슴(선화) (3148 x 4970px 350dpi 100.0%)」(アスタリスクなし・タブも保存済み表示)。ズーム 100.0%、回転 49.8。消しゴム(자우개、Brush Size 27.3)で手元の線を修正中。Layer 48 選択。字幕なし。
03m40s.png || medium || 前フレーム(03m20s)と同セッション。ズーム 97.6%、回転 -56.5。消しゴムで顔・手元の線の清書中。Layer 48 選択。キャンバス左に透かし「web_in_box_mail-973965」。字幕なし。
04m00s.png || high || 前フレーム(03m40s)と同セッション。ズーム 66.6%、回転 0.0。全身が収まる表示で、線画全体を確認。レイヤーパネルは Layer 47 選択、Layer 48 の表示チェックが入る。Layer Property に「Mask expression / Show gradients: Yes」が表示(グラデーションレイヤー選択時の表示)。字幕なし。
04m20s.png || high || 前フレーム(04m00s)と同セッション。ズーム 66.6%、回転 0.0。サブツールをG펜に戻し、Tool Property: Brush Size 12.0、Hardness。Layer 46(100%Normal)選択。胴体・袖の線画を描き進む。Layer Property は Mask expression / Show gradients: Yes のまま。字幕なし。
04m40s.png || medium || 前フレーム(04m20s)と同セッション。ズーム 66.6%。Layer 44(100%Normal)選択、G펜・Brush Size 12.0。胴まわり・袖口の線画を追記中。字幕なし。
05m00s.png || medium || 前フレーム(04m40s)とほぼ同一画面。ズーム 66.6%、Layer 44 選択、G펜・Brush Size 12.0。変化点: 袖・体側面の線が数本追加されている。字幕なし。
05m20s.png || medium || 前フレーム(05m00s)と同セッション。ズーム 66.6%、回転 1.8。Layer 44 選択、G펜。腰〜スカートまわりの線画を追記中。字幕なし。
05m40s.png || medium || 前フレーム(05m20s)と同セッション。ズーム 66.6%、回転 -34.2。Layer 44 選択、G펜。上半身・腕まわりの線を清書中。字幕なし。
